"Source:","/home/leo/Documents/dev/perso/open-pod/hardware/openpod/openpod.kicad_sch"
"Date:","Thu May 15 12:42:54 2025"
"Tool:","Eeschema 7.0.11+dfsg-1build4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","61"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"Audiocodec1","1","VS1063","vs1063","Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm","","",""
"bat-man1","1","MCP73831-2-MC","MCP73831-2-MC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in DFN-8 package","",""
"bottom1","1","SKQGAFE010","SKQGAFE010","openpod:SW_SKQGAFE010","","",""
"BT2","1","Battery_Cell","Battery_Cell","","Single-cell battery","",""
"Buck-converter2","1","LM3671","LM3670MF","Package_TO_SOT_SMD:TSOT-23-5","Miniature Step-Down DC-DC Converter for Ultralow Voltage Circuits, 2.5V < Vin < 5.5V, adjustable output voltage, SOT-23-5","",""
"C3, C29","2","10nF","C","","Unpolarized capacitor","",""
"C9","1","47nF","C","","Unpolarized capacitor","",""
"C30, C31, C32, C37, C39, C41, C42, C43, C44, C45","10","100nF","C","","Unpolarized capacitor","",""
"C33, C35, C40","3","10uF,6v3","C_Polarized","","Polarized capacitor","",""
"C34","1","1uF","C","","Unpolarized capacitor","",""
"C36, C38","2","33pF","C","","Unpolarized capacitor","",""
"C46, C47, C49","3","4.7uF","C","","Unpolarized capacitor","",""
"C48","1","???","C_Polarized","","Polarized capacitor","",""
"C50, C51, C52","3","10uF","C","","Unpolarized capacitor","",""
"center1","1","SKQGAFE010","SKQGAFE010","openpod:SW_SKQGAFE010","","",""
"Clickwheel1","1","~","clickwheel","openpod:clickwheel_1","","",""
"clickwheel-connector1","1","~","clickwheel-connector","Connector_FFC-FPC:Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal","","",""
"Cristal1","1","12.288MHz","Crystal","","Two pin crystal","",""
"D4","1","LED","LED","","Light emitting diode","",""
"D5, D6","2","D_Schottky","D_Schottky","","Schottky diode","",""
"ESP1","1","ESP32-S3-WROOM-2","ESP32-S3-WROOM-2","RF_Module:ESP32-S3-WROOM-2","RF Module, 2.4 GHz, Wi­-Fi, Bluetooth, BLE, ESP32­-S3R8V","",""
"F2","1","Polyfuse","Polyfuse","","Resettable fuse, polymeric positive temperature coefficient","",""
"J1","1","SJ-43515TS-SMT-TR","SJ-43515TS-SMT-TR","CUI_SJ-43515TS-SMT-TR","","",""
"L2","1","2.2uH","L","","Inductor","",""
"LDO2","1","MIC5504-3.3YM5","MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23","",""
"left1","1","SKQGAFE010","SKQGAFE010","openpod:SW_SKQGAFE010","","",""
"MPR1","1","MPR121QR2","MPR121QR2","openpod:mpr121qr2","","",""
"R2, R14","2","20","R","","Resistor","",""
"R13","1","10","R","","Resistor","",""
"R15, R16, R17","3","100K","R","","Resistor","",""
"R18","1","1M","R","","Resistor","",""
"R19, R20","2","5.1k","R","","Resistor","",""
"R21","1","2k","R","","Resistor","",""
"R22","1","470","R","","Resistor","",""
"right1","1","SKQGAFE010","SKQGAFE010","openpod:SW_SKQGAFE010","","",""
"S_CONNECTOR1","1","~","connector","openpod:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","","",""
"SCREEN1","1","~","screen-ili9488","openpod:nhd-2.4-240320cf-ctxif","","",""
"top1","1","SKQGAFE010","SKQGAFE010","openpod:SW_SKQGAFE010","","",""
"USB1","1","USB_C_Receptacle","USB_C_Receptacle","","USB Full-Featured Type-C Receptacle connector","",""
